country year pop continent lifeExp gdpPercap
Afghanistan 1952 8425333 Asia 28.801 779.4453145
Afghanistan 1957 9240934 Asia 30.332 820.8530296
Afghanistan 1962 10267083 Asia 31.997 853.10071
Afghanistan 1967 11537966 Asia 34.02 836.1971382
Afghanistan 1972 13079460 Asia 36.088 739.9811058
Afghanistan 1977 14880372 Asia 38.438 786.11336
Afghanistan 1982 12881816 Asia 39.854 978.0114388
Afghanistan 1987 13867957 Asia 40.822 852.3959448
Afghanistan 1992 16317921 Asia 41.674 649.3413952
Afghanistan 1997 22227415 Asia 41.763 635.341351
Afghanistan 2002 25268405 Asia 42.129 726.7340548
Afghanistan 2007 31889923 Asia 43.828 974.5803384
Canada 1952 14785584 Americas 68.75 11367.16112
Canada 1957 17010154 Americas 69.96 12489.95006
Canada 1962 18985849 Americas 71.3 13462.48555
Canada 1967 20819767 Americas 72.13 16076.58803
Canada 1972 22284500 Americas 72.88 18970.57086
Canada 1977 23796400 Americas 74.21 22090.88306
Canada 1982 25201900 Americas 75.76 22898.79214
Canada 1987 26549700 Americas 76.86 26626.51503
Canada 1992 28523502 Americas 77.95 26342.88426
Canada 1997 30305843 Americas 78.61 28954.92589
Canada 2002 31902268 Americas 79.77 33328.96507
Canada 2007 33390141 Americas 80.653 36319.23501
Iceland 1952 147962 Europe 72.49 7267.688428
Iceland 1957 165110 Europe 73.47 9244.001412
Iceland 1962 182053 Europe 73.68 10350.15906
Iceland 1967 198676 Europe 73.73 13319.89568
Iceland 1972 209275 Europe 74.46 15798.06362
Iceland 1977 221823 Europe 76.11 19654.96247
Iceland 1982 233997 Europe 76.99 23269.6075
Iceland 1987 244676 Europe 77.23 26923.20628
Iceland 1992 259012 Europe 78.77 25144.39201
Iceland 1997 271192 Europe 78.95 28061.09966
Iceland 2002 288030 Europe 80.5 31163.20196
Iceland 2007 301931 Europe 81.757 36180.78919
Japan 1952 86459025 Asia 63.03 3216.956347
Japan 1957 91563009 Asia 65.5 4317.694365
Japan 1962 95831757 Asia 68.73 6576.649461
Japan 1967 100825279 Asia 71.43 9847.788607
Japan 1972 107188273 Asia 73.42 14778.78636
Japan 1977 113872473 Asia 75.38 16610.37701
Japan 1982 118454974 Asia 77.11 19384.10571
Japan 1987 122091325 Asia 78.67 22375.94189
Japan 1992 124329269 Asia 79.36 26824.89511
Japan 1997 125956499 Asia 80.69 28816.58499
Japan 2002 127065841 Asia 82 28604.5919
Japan 2007 127467972 Asia 82.603 31656.06806
Sweden 1952 7124673 Europe 71.86 8527.844662
Sweden 1957 7363802 Europe 72.49 9911.878226
Sweden 1962 7561588 Europe 73.37 12329.44192
Sweden 1967 7867931 Europe 74.16 15258.29697
Sweden 1972 8122293 Europe 74.72 17832.02464
Sweden 1977 8251648 Europe 75.44 18855.72521
Sweden 1982 8325260 Europe 76.42 20667.38125
Sweden 1987 8421403 Europe 77.19 23586.92927
Sweden 1992 8718867 Europe 78.16 23880.01683
Sweden 1997 8897619 Europe 79.39 25266.59499
Sweden 2002 8954175 Europe 80.04 29341.63093
Sweden 2007 9031088 Europe 80.884 33859.74835
