Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,SOCI,100,A,001,"INTRO SOCIOLOGY","Skourtes, Stephanie",108,78.31,11.12,97,14,104,1,1,0,1,0,1,0,0,0,1,0,4,4,7,3,14,13,31,18,10
UBC,2013,W,SOCI,100, ,OVERALL,"INTRO SOCIOLOGY"," ",229,78.83,10.79,97,14,203,3,17,2,2,0,1,0,2,0,3,0,5,7,12,10,21,31,54,40,23
UBC,2013,W,SOCI,100,B,001,"INTRO SOCIOLOGY","Skourtes, Stephanie",103,79.38,10.45,97,33,99,2,0,0,1,0,0,0,2,0,2,0,1,3,5,7,7,18,23,22,13
UBC,2013,W,SOCI,100, ,OVERALL,"INTRO SOCIOLOGY"," ",229,78.83,10.79,97,14,203,3,17,2,2,0,1,0,2,0,3,0,5,7,12,10,21,31,54,40,23
UBC,2013,W,SOCI,100, ,OVERALL,"INTRO SOCIOLOGY"," ",229,78.83,10.79,97,14,203,3,17,2,2,0,1,0,2,0,3,0,5,7,12,10,21,31,54,40,23
UBC,2013,W,SOCI,200, ,001,"SOCI OF FAMILY","White, James M",100,71.12,10.67,89,36,95,3,1,0,0,0,0,0,1,2,3,2,4,16,11,11,15,11,18,7,0
UBC,2013,W,SOCI,200, ,002,"SOCI OF FAMILY","Bartolic, Silvia",124,73.57,9.71,92,50,123,0,0,0,1,0,0,0,0,0,0,2,9,9,13,12,14,25,21,13,5
UBC,2013,W,SOCI,200, ,OVERALL,"SOCI OF FAMILY"," ",226,72.48,10.2,92,36,218,3,3,0,1,0,0,0,1,2,3,4,13,25,24,23,29,36,39,20,5
UBC,2013,W,SOCI,201,A,001,"ETHNIC RELATIONS","Ryniker, David",36,75.79,8.22,91,61,33,0,1,0,2,0,0,0,0,0,0,0,0,3,6,0,3,9,8,3,1
UBC,2013,W,SOCI,201, ,OVERALL,"ETHNIC RELATIONS"," ",38,75.79,8.22,91,61,33,0,2,1,2,0,0,0,0,0,0,0,0,3,6,0,3,9,8,3,1
UBC,2013,W,SOCI,210,A,001,"CAN SOCIAL STRUC","Pentecost, Debra",58,72.95,12.9,90,0,54,1,2,0,0,1,0,0,0,0,1,0,3,2,6,5,10,12,11,4,1
UBC,2013,W,SOCI,210, ,OVERALL,"CAN SOCIAL STRUC"," ",59,72.95,12.9,90,0,54,1,3,0,0,1,0,0,0,0,1,0,3,2,6,5,10,12,11,4,1
UBC,2013,W,SOCI,217,A,004,"RESEARCH METHODS","Lauster, Nathanael",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,SOCI,217,A,005,"RESEARCH METHODS","Ghaziani, Amin",79,70,12.55,90,30,73,3,3,0,0,0,0,0,2,1,3,7,5,6,7,6,16,8,10,6,2
UBC,2013,W,SOCI,217, ,OVERALL,"RESEARCH METHODS"," ",85,70,12.55,90,30,73,3,9,0,0,0,0,0,2,1,3,7,5,6,7,6,16,8,10,6,2
UBC,2013,W,SOCI,220, ,001,"INDIG PEOPLES","Blackburn, Carole",51,79.65,11.17,90,18,47,1,2,0,1,0,1,0,0,0,1,0,0,0,1,6,4,2,14,18,2
UBC,2013,W,SOCI,220, ,OVERALL,"INDIG PEOPLES"," ",51,79.65,11.17,90,18,47,1,2,0,1,0,1,0,0,0,1,0,0,0,1,6,4,2,14,18,2
