country,year,pop,continent,lifeExp,gdpPercap
Algeria,1952,9279525,Africa,43.077,2449.008185
Algeria,1957,10270856,Africa,45.685,3013.976023
Algeria,1962,11000948,Africa,48.303,2550.81688
Algeria,1967,12760499,Africa,51.407,3246.991771
Algeria,1972,14760787,Africa,54.518,4182.663766
Algeria,1977,17152804,Africa,58.014,4910.416756
Algeria,1982,20033753,Africa,61.368,5745.160213
Algeria,1987,23254956,Africa,65.799,5681.358539
Algeria,1992,26298373,Africa,67.744,5023.216647
Algeria,1997,29072015,Africa,69.152,4797.295051
Algeria,2002,31287142,Africa,70.994,5288.040382
Algeria,2007,33333216,Africa,72.301,6223.367465
Canada,1952,14785584,Americas,68.75,11367.16112
Canada,1957,17010154,Americas,69.96,12489.95006
Canada,1962,18985849,Americas,71.3,13462.48555
Canada,1967,20819767,Americas,72.13,16076.58803
Canada,1972,22284500,Americas,72.88,18970.57086
Canada,1977,23796400,Americas,74.21,22090.88306
Canada,1982,25201900,Americas,75.76,22898.79214
Canada,1987,26549700,Americas,76.86,26626.51503
Canada,1992,28523502,Americas,77.95,26342.88426
Canada,1997,30305843,Americas,78.61,28954.92589
Canada,2002,31902268,Americas,79.77,33328.96507
Canada,2007,33390141,Americas,80.653,36319.23501
Rwanda,1952,2534927,Africa,40,493.3238752
Rwanda,1957,2822082,Africa,41.5,540.2893983
Rwanda,1962,3051242,Africa,43,597.4730727
Rwanda,1967,3451079,Africa,44.1,510.9637142
Rwanda,1972,3992121,Africa,44.6,590.5806638
Rwanda,1977,4657072,Africa,45,670.0806011
Rwanda,1982,5507565,Africa,46.218,881.5706467
Rwanda,1987,6349365,Africa,44.02,847.991217
Rwanda,1992,7290203,Africa,23.599,737.0685949
Rwanda,1997,7212583,Africa,36.087,589.9445051
Rwanda,2002,7852401,Africa,43.413,785.6537648
Rwanda,2007,8860588,Africa,46.242,863.0884639
Thailand,1952,21289402,Asia,50.848,757.7974177
Thailand,1957,25041917,Asia,53.63,793.5774148
Thailand,1962,29263397,Asia,56.061,1002.199172
Thailand,1967,34024249,Asia,58.285,1295.46066
Thailand,1972,39276153,Asia,60.405,1524.358936
Thailand,1977,44148285,Asia,62.494,1961.224635
Thailand,1982,48827160,Asia,64.597,2393.219781
Thailand,1987,52910342,Asia,66.084,2982.653773
Thailand,1992,56667095,Asia,67.298,4616.896545
Thailand,1997,60216677,Asia,67.521,5852.625497
Thailand,2002,62806748,Asia,68.564,5913.187529
Thailand,2007,65068149,Asia,70.616,7458.396327
